# Alternator.lean axiom-closure attestation (#473, PR #629)
# Kernel `#print axioms` for every `theorem` in proofs/QBP/Foundations/Alternator.lean
# (82/82; the inverse-audit per-file count of 88 also counts non-theorem declarations).
# Captured with `run-bounded 8G 900 lake env lean` on leanprover/lean4:v4.30.0,
# mathlib c5ea00351c28e24afc9f0f84379aa41082b1188f, via a scratch importer file.
# Every closure is a subset of {propext, Classical.choice, Quot.sound}:
# no sorry, no native_decide, no Lean.ofReduceBool.
'QBP.Foundations.CDAlg.xor_comm_fin' depends on axioms: [propext, Quot.sound]
'QBP.Foundations.CDAlg.xor_eq_zero_iff' depends on axioms: [propext, Quot.sound]
'QBP.Foundations.CDAlg.sum_xor_reindex' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.mul_coord_matrix' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.sAll_coord' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.sAllLZ_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.sAll_mul_coord' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.sAll_left_mul_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.sAll_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.sAll_assoc_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.alt_N_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.alt_N_eq_zero_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.eq_zero_of_smul_eq_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.alt_bil_sub_right' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.bil_one_right' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.alt_N_add' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.mul_add_mul_comm' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.anticomm_of_orthogonal_imaginary' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.xor_assoc_fin' depends on axioms: [propext, Quot.sound]
'QBP.Foundations.CDAlg.xor_mid_cancel' depends on axioms: [propext, Quot.sound]
'QBP.Foundations.CDAlg.contractCoeffZ_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.contractMap_bilinear' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.contractMap_e' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.contractMap_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.octonion_assoc_contract' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.octonion_commutant' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.alt_assoc_one_right' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.octonion_assoc_vanishes_iff_commute' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.cdLo_add' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.cdHi_add' depends on axioms: [propext, Quot.sound]
'QBP.Foundations.CDAlg.cdLo_smul' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.cdHi_smul' depends on axioms: [propext, Quot.sound]
'QBP.Foundations.CDAlg.cdHi_zero' depends on axioms: [propext, Quot.sound]
'QBP.Foundations.CDAlg.cdHi_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.loIdx_inj_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.hiIdx_inj_iff' depends on axioms: [propext, Quot.sound]
'QBP.Foundations.CDAlg.loIdx_ne_hiIdx' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.idx_cases' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.idx3' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.idx4' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.cdHi_e_hiIdx' depends on axioms: [propext, Quot.sound]
'QBP.Foundations.CDAlg.split_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.laMap_e' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.laCoeffZ_lo_lo' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.laCoeffZ_hi_hi' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.laCoeffZ_lo_hi0' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.laCoeffZ_lo_hi_sym' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.sedContractZ' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.alt_mul_isBilinear' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.laMap_expand_sums' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.mul_expand_sums' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.laMap_e_e_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.sum_sum_smul_antisym' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.part_split' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.laMap_loPart_loPart' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.laMap_hiPart_hiPart' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.assoc_self_eq_laMap' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.loIdx_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.idx5' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.loPart_eq_loOf' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.hiPart_eq_hiOf' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.hiOf_add' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.hiOf_smul' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.hiOf_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.sedContract_basis' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.sedenion_alternator_contract' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.laMap_lo_hi_antisym' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.laMap_loOf_hiOne' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.laMap_loOf_hiOf_self' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.sedenion_alternator_vanishes_iff_components_commute' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.sAll_coord_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.sAll_components_commute' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.sedWitX_coord_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.sedWitX_cdLo' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.sedWitX_cdHi' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.octonion_e1_e2_not_commute' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.sedWitX_alternator_ne_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.sedenion_not_alternative_via_commutator' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.imaginary_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.left_mul_sq_imaginary' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.N_sAll' depends on axioms: [propext, Classical.choice, Quot.sound]
'QBP.Foundations.CDAlg.sAll_left_mul_sq_via_T2c' depends on axioms: [propext, Classical.choice, Quot.sound]
